상호,주소,도로명주소,전화번호,주요메뉴
하야미,경기도 안양시 동안구 평촌동 924-12 1층,경기도 안양시 동안구 귀인로190번길 90-18,050-7456-5526,한식
자금성,경기도 안양시 동안구 평안동 896-2,경기도 안양시 동안구 관평로138번길 13 초원세경아파트,050-7957-2153,중식> 중식당
화로이찌방,경기도 안양시 동안구 평촌동 917-1 1층,경기도 안양시 동안구 귀인로190번길 61-11,031-386-7314,"한식> 곱창, 막창, 양"
이탈리안피자,경기도 안양시 동안구 관양동 1384-6,경기도 안양시 동안구 관악대로287번길 6,050-7990-3957,음식점>피자
